name,id,sql_request,enabled,icon_url
Internet Infrastructure,28,where ct.g_industry ilike '%cybersecur%' OR ct.g_industry ilike '%data%cent%' OR ct.g_industry ilike '%domain%reg%' OR ct.g_industry ilike '%enterpris%cloud%' OR ct.g_industry ilike '%network%equip%' OR ct.g_industry ilike '%tech%conglomerat%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Real Estate,29,where ct.g_industry ilike '%real%estat%tech%' OR ct.g_industry ilike '%real%estat%prop%manag%' OR ct.g_industry ilike '%real%estat%invest%develop%' OR ct.g_industry ilike '%commerc%real%estat%broker%serv%' OR ct.g_industry ilike '% reit',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Restaurants,30,where ct.g_industry ilike '%casual%din%' OR ct.g_industry ilike '%food%deliver%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Semiconductors,31,where ct.g_industry ilike '%semiconduct%equip%' OR ct.g_industry ilike '%semiconduct%manufact%' OR ct.g_industry ilike '%semiconduct%mater%' OR ct.g_industry ilike '%memory%storage%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
SPACs,32,where ct.g_industry ilike '%shell%compan%spac%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Social media,33,where ct.g_industry ilike '%social%media%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Utilities,34,where ct.g_industry ilike '%electricity%generat%' OR ct.g_industry ilike '%waste%manag%' OR ct.g_industry ilike '%water%manag%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Tesla,35,where ct.g_industry ilike '%electric%vehicle%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Gig Economy,36,where ct.g_industry ilike '%payment%system%' OR ct.g_industry ilike '%shar%econom%' OR ct.g_industry ilike '%e-commerc%platform%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Sharing economy,37,where ct.g_industry ilike '%shar%econom%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Beverages,38,where ct.g_industry ilike '%cof%e%tea%' OR ct.g_industry ilike '%wine%liquor%' OR ct.g_industry ilike '%soft%sport%drink%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
Netflix,39,where ct.g_industry ilike 'streaming%',1,https://gainy-interests-dev.s3.amazonaws.com/placeholder.png
