name,QA,id,image_url,description,enabled,personalized,sql_request
Logistics,0,224,https://gainy-collections-production.s3.amazonaws.com/Logistics.png,Logistics and transportation companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Air Cargo Transport', 'Container and Packaging', 'Maritime Transportation', 'Rail Freight', 'Retail Supply Chain', 'Supply Chain Services', 'Supply Chain Technology']))"
Machinery,0,225,https://gainy-collections-production.s3.amazonaws.com/Machinery.png,Machinery producers,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Construction Machinery', 'Heavy Machinery & Parts']))"
Man's health,0,226,https://gainy-collections-production.s3.amazonaws.com/Mans%20health.png,Man's health products and services,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Man''s health']))
Resource mining,0,227,https://gainy-collections-production.s3.amazonaws.com/Resource%20mining.png,Mining companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Basic Chemicals', 'Coal mining', 'Industrial Metals', 'Specialty Chemicals']))"
Security & Protection,0,228,https://gainy-collections-production.s3.amazonaws.com/Security%20%26%20Protection.png,Security and protection companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Mobile Data Capture', 'Security & Protection']))"
Women's health,0,229,https://gainy-collections-production.s3.amazonaws.com/Womens%20health.png,Women's health companies,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Women''s health']))
EV charging companies,0,230,https://gainy-collections-production.s3.amazonaws.com/EV%20charging%20companies.png,EV charging companies,1,0,"where (ct.ttype ilike 'common stock' AND ticker_code IN ('BLNK','EVGO','TSLA','CHPT','RDS.A','RDS.B','BP','TPGY'))"
Top-20 for you,0,231,https://gainy-collections-production.s3.amazonaws.com/top%2020%20for%20you.png,Stocks that best fit your profile,1,1,
Heavily sold,0,232,,Stocks whose price fell by more than 20% in a month,1,0,where (ct.ttype ilike 'common stock' AND ct.chrt_1m <= -0.2)
Top growers in a year,0,233,,Stocks whose price has more than doubled in a year,1,0,where (ct.ttype ilike 'common stock' AND ct.chrt_1y >= 1)
Cheap stocks,0,234,,Stocks with low price,1,0,where (ct.ttype ilike 'common stock' AND ( ct.price <=1.5 AND ct.chrt_1d >=-1 and ct.chrt_1d <=1 OR ct.price >1.5 and ct.price <=3 AND ct.chrt_1d >=-1 and ct.chrt_1d <=1 OR ct.price >3 and ct.price <=7 AND ct.chrt_1d >=-0.5 and ct.chrt_1d <=0.5 OR ct.price >7 and ct.price <=13 AND ct.chrt_1d >=-0.2 and ct.chrt_1d <=0.2 OR ct.investcat ilike 'Penny' ))
Covid vaccine stocks,0,235,,Companies actively fighting against COVID,1,0,"where (ct.ttype ilike 'common stock' AND ct.ticker_code IN ('BNTX','PFE','AZN','OXB', 'OXBDF','MRNA','LZAGY', 'LONN','JNJ','MRK','INO', 'CASBF','SVA','SHTDY','NVAX') OR (ct.g_industry ilike any(array['COVID Pharmaceuticals', 'Healthcare and COVID services'])))"
Most active stocks,0,236,,Most traded Stocks in recent days,1,0,where (ct.ttype ilike 'common stock' AND ct.vol_10d_topintype_percent <=0.2 AND ct.vol_10d_topintype_order <=50)
Most active ETFs,0,237,,Most traded ETFs in recent days,1,0,where (ct.ttype ilike 'ETF' AND ct.vol_10d_topintype_percent <=0.2 AND ct.vol_10d_topintype_order <=20)
Make-up stocks,0,238,,Makeup and cosmetics companies,1,0,"where (ct.ttype ilike 'common stock' AND ct.ticker_code IN ('JWEL','IPAR','EL','ULTA', 'COTY','ELF','UG','REV', 'IFF','NTCO','BON','TUP', 'BFRA','YSG','NUS','UL'))"
Defensive stocks,0,10001,,"Common stocks, category: Defensive",0,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Defensive')
Speculation stocks,0,10002,,"Common stocks, category: Speculation",1,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Speculation')
Penny stocks,0,10005,,"Common stocks, category: Penny",1,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Penny')
Dividend stocks,0,10006,,"Common stocks, category: Dividend",1,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Dividend')
Momentum stocks,0,10007,,"Common stocks, category: Momentum",1,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Momentum')
Value stocks,0,10008,,"Common stocks, category: Value",1,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Value')
Growth stocks,0,10009,,"Common stocks, category: Growth",1,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Growth')
3D Printing stocks,0,20001,,"Common stocks, industry: 3D Printing",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['3D Printing']))
Aerospace & Defense stocks,0,20002,,"Common stocks, industry: Aerospace & Defense",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Aerospace & Defense']))
Agriculture & AgTech stocks,0,20003,,"Common stocks, industry: Agriculture & AgTech",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Agriculture & AgTech']))
Air Cargo Transport stocks,0,20004,,"Common stocks, industry: Air Cargo Transport",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Air Cargo Transport']))
Aircraft Leasing stocks,0,20005,,"Common stocks, industry: Aircraft Leasing",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Aircraft Leasing']))
Airlines stocks,0,20006,,"Common stocks, industry: Airlines",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Airlines']))
Auto Manufacturers stocks,0,20007,,"Common stocks, industry: Auto Manufacturers",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Auto Manufacturers']))
Auto Parts & Services stocks,0,20008,,"Common stocks, industry: Auto Parts & Services",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Auto Parts & Services']))
Basic Chemicals stocks,0,20009,,"Common stocks, industry: Basic Chemicals",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Basic Chemicals']))
Battery Tech stocks,0,20010,,"Common stocks, industry: Battery Tech",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Battery Tech']))
Building Products stocks,0,20011,,"Common stocks, industry: Building Products",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Building Products']))
Cannabis stocks,0,20012,,"Common stocks, industry: Cannabis",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Cannabis']))
Clean Energy stocks,0,20013,,"Common stocks, industry: Clean Energy",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Clean Energy']))
Specialty Chemicals stocks,0,20014,,"Common stocks, industry: Specialty Chemicals",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Specialty Chemicals']))
Cleaning & Decontamination stocks,0,20015,,"Common stocks, industry: Cleaning & Decontamination",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Cleaning & Decontamination']))
Construction & Infrastructure stocks,0,20017,,"Common stocks, industry: Construction & Infrastructure",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Construction & Infrastructure']))
Construction Machinery stocks,0,20018,,"Common stocks, industry: Construction Machinery",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Construction Machinery']))
Building Materials stocks,0,20019,,"Common stocks, industry: Building Materials",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Building Materials']))
Consulting Services stocks,0,20020,,"Common stocks, industry: Consulting Services",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Consulting Services']))
Container and Packaging stocks,0,20021,,"Common stocks, industry: Container and Packaging",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Container and Packaging']))
Drones stocks,0,20022,,"Common stocks, industry: Drones",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Drones']))
Electricity Generation stocks,0,20023,,"Common stocks, industry: Electricity Generation",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Electricity Generation']))
Electronic Components stocks,0,20024,,"Common stocks, industry: Electronic Components",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Electronic Components']))
Furnishing & Fixtures stocks,0,20026,,"Common stocks, industry: Furnishing & Fixtures",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Furnishing & Fixtures']))
Home Construction & Maintenance stocks,0,20027,,"Common stocks, industry: Home Construction & Maintenance",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Home Construction & Maintenance']))
Gold & Silver stocks,0,20028,,"Common stocks, industry: Gold & Silver",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Gold & Silver']))
Heavy Machinery & Parts stocks,0,20029,,"Common stocks, industry: Heavy Machinery & Parts",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Heavy Machinery & Parts']))
Household Products stocks,0,20030,,"Common stocks, industry: Household Products",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Household Products']))
Industrial Conglomerates stocks,0,20031,,"Common stocks, industry: Industrial Conglomerates",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Industrial Conglomerates']))
Industrial Metals stocks,0,20032,,"Common stocks, industry: Industrial Metals",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Industrial Metals']))
Lighting Systems stocks,0,20033,,"Common stocks, industry: Lighting Systems",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Lighting Systems']))
Liquified Natural Gas stocks,0,20034,,"Common stocks, industry: Liquified Natural Gas",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Liquified Natural Gas']))
Maritime Transportation stocks,0,20035,,"Common stocks, industry: Maritime Transportation",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Maritime Transportation']))
Modular Office & Storage stocks,0,20037,,"Common stocks, industry: Modular Office & Storage",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Modular Office & Storage']))
Nutrition & Health stocks,0,20038,,"Common stocks, industry: Nutrition & Health",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Nutrition & Health']))
Oil & Gas Services stocks,0,20039,,"Common stocks, industry: Oil & Gas Services",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Oil & Gas Services']))
Oil & Gas Producer stocks,0,20040,,"Common stocks, industry: Oil & Gas Producer",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Oil & Gas Producer']))
Parking stocks,0,20041,,"Common stocks, industry: Parking",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Parking']))
Power Generation & Distribution stocks,0,20042,,"Common stocks, industry: Power Generation & Distribution",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Power Generation & Distribution']))
Print Marketing stocks,0,20043,,"Common stocks, industry: Print Marketing",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Print Marketing']))
Rail Freight stocks,0,20044,,"Common stocks, industry: Rail Freight",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Rail Freight']))
Sharing Economy stocks,0,20045,,"Common stocks, industry: Sharing Economy",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Sharing Economy']))
Security & Protection stocks,0,20046,,"Common stocks, industry: Security & Protection",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Security & Protection']))
Renewable Energy stocks,0,20047,,"Common stocks, industry: Renewable Energy",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Renewable Energy']))
Solar Energy stocks,0,20048,,"Common stocks, industry: Solar Energy",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Solar Energy']))
Staffing Services stocks,0,20049,,"Common stocks, industry: Staffing Services",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Staffing Services']))
Supply Chain Services stocks,0,20050,,"Common stocks, industry: Supply Chain Services",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Supply Chain Services']))
Real Estate Technology stocks,0,20052,,"Common stocks, industry: Real Estate Technology",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Real Estate Technology']))
Investment Management Firm stocks,0,20053,,"Common stocks, industry: Investment Management Firm",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Investment Management Firm']))
Retail Brokerage stocks,0,20054,,"Common stocks, industry: Retail Brokerage",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Retail Brokerage']))
Traded Private Investment Funds stocks,0,20055,,"Common stocks, industry: Traded Private Investment Funds",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Traded Private Investment Funds']))
Investment Banking & Advisory stocks,0,20056,,"Common stocks, industry: Investment Banking & Advisory",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Investment Banking & Advisory']))
Debt Collections stocks,0,20057,,"Common stocks, industry: Debt Collections",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Debt Collections']))
Pharmaceuticals stocks,0,20060,,"Common stocks, industry: Pharmaceuticals",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Pharmaceuticals']))
Healthcare services & Equipment stocks,0,20062,,"Common stocks, industry: Healthcare services & Equipment",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Healthcare services & Equipment']))
Trucking stocks,0,20064,,"Common stocks, industry: Trucking",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Trucking']))
Vehicle Rental stocks,0,20065,,"Common stocks, industry: Vehicle Rental",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Vehicle Rental']))
Waste Management stocks,0,20066,,"Common stocks, industry: Waste Management",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Waste Management']))
Water Management stocks,0,20067,,"Common stocks, industry: Water Management",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Water Management']))
Bread & Condiments stocks,0,20068,,"Common stocks, industry: Bread & Condiments",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Bread & Condiments']))
Coffee & Tea stocks,0,20069,,"Common stocks, industry: Coffee & Tea",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Coffee & Tea']))
Dairy stocks,0,20070,,"Common stocks, industry: Dairy",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Dairy']))
Fruits & Vegetables stocks,0,20071,,"Common stocks, industry: Fruits & Vegetables",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Fruits & Vegetables']))
Health Supplements stocks,0,20072,,"Common stocks, industry: Health Supplements",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Health Supplements']))
Meat & Poultry stocks,0,20073,,"Common stocks, industry: Meat & Poultry",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Meat & Poultry']))
Medical/Cosmetic Ingredients stocks,0,20074,,"Common stocks, industry: Medical/Cosmetic Ingredients",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Medical/Cosmetic Ingredients']))
Pets stocks,0,20075,,"Common stocks, industry: Pets",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Pets']))
Pharmacies stocks,0,20076,,"Common stocks, industry: Pharmacies",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Pharmacies']))
Snacks & Candy stocks,0,20077,,"Common stocks, industry: Snacks & Candy",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Snacks & Candy']))
Soft/Sports Drink stocks,0,20078,,"Common stocks, industry: Soft/Sports Drink",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Soft/Sports Drink']))
Supermarkets stocks,0,20079,,"Common stocks, industry: Supermarkets",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Supermarkets']))
Wine & Liquor stocks,0,20080,,"Common stocks, industry: Wine & Liquor",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Wine & Liquor']))
Advanced Materials stocks,0,20082,,"Common stocks, industry: Advanced Materials",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Advanced Materials']))
Analytics and AI stocks,0,20083,,"Common stocks, industry: Analytics and AI",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Analytics and AI']))
Apparel Manufacturing & Retail stocks,0,20084,,"Common stocks, industry: Apparel Manufacturing & Retail",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Apparel Manufacturing & Retail']))
AR/VR stocks,0,20085,,"Common stocks, industry: AR/VR",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['AR/VR']))
Auto Dealer stocks,0,20086,,"Common stocks, industry: Auto Dealer",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Auto Dealer']))
Auto Marketplace stocks,0,20087,,"Common stocks, industry: Auto Marketplace",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Auto Marketplace']))
Business Intelligence stocks,0,20088,,"Common stocks, industry: Business Intelligence",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Business Intelligence']))
Casino and Resorts stocks,0,20089,,"Common stocks, industry: Casino and Resorts",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Casino and Resorts']))
Cloud-Based Communications stocks,0,20091,,"Common stocks, industry: Cloud-Based Communications",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Cloud-Based Communications']))
Computer Vision and Sensor stocks,0,20092,,"Common stocks, industry: Computer Vision and Sensor",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Computer Vision and Sensor']))
Contract Management stocks,0,20093,,"Common stocks, industry: Contract Management",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Contract Management']))
Cybersecurity stocks,0,20096,,"Common stocks, industry: Cybersecurity",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Cybersecurity']))
Data Storage and Management stocks,0,20098,,"Common stocks, industry: Data Storage and Management",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Data Storage and Management']))
Digital Content Publisher stocks,0,20099,,"Common stocks, industry: Digital Content Publisher",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Digital Content Publisher']))
Digital Marketing & Advertising stocks,0,20100,,"Common stocks, industry: Digital Marketing & Advertising",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Digital Marketing & Advertising']))
Digital Media/Web stocks,0,20101,,"Common stocks, industry: Digital Media/Web",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Digital Media/Web']))
Discount Retail stocks,0,20102,,"Common stocks, industry: Discount Retail",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Discount Retail']))
Distributed Work Tools stocks,0,20103,,"Common stocks, industry: Distributed Work Tools",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Distributed Work Tools']))
Domain Registry stocks,0,20104,,"Common stocks, industry: Domain Registry",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Domain Registry']))
E-commerce Operations stocks,0,20105,,"Common stocks, industry: E-commerce Operations",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['E-commerce Operations']))
E-commerce Platforms stocks,0,20106,,"Common stocks, industry: E-commerce Platforms",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['E-commerce Platforms']))
Education Services stocks,0,20107,,"Common stocks, industry: Education Services",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Education Services']))
Education Technology stocks,0,20108,,"Common stocks, industry: Education Technology",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Education Technology']))
Electric Vehicles stocks,0,20109,,"Common stocks, industry: Electric Vehicles",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Electric Vehicles']))
Electronic Display stocks,0,20110,,"Common stocks, industry: Electronic Display",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Electronic Display']))
Electronics Manufacturing stocks,0,20111,,"Common stocks, industry: Electronics Manufacturing",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Electronics Manufacturing']))
Electronics Power Management stocks,0,20112,,"Common stocks, industry: Electronics Power Management",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Electronics Power Management']))
Enterprise Cloud stocks,0,20113,,"Common stocks, industry: Enterprise Cloud",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Enterprise Cloud']))
Fiber Optics and Laser stocks,0,20115,,"Common stocks, industry: Fiber Optics and Laser",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Fiber Optics and Laser']))
Food Delivery stocks,0,20116,,"Common stocks, industry: Food Delivery",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Food Delivery']))
Gaming & Esports stocks,0,20117,,"Common stocks, industry: Gaming & Esports",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Gaming & Esports']))
Home and Furniture retail stocks,0,20118,,"Common stocks, industry: Home and Furniture retail",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Home and Furniture retail']))
Hotels stocks,0,20119,,"Common stocks, industry: Hotels",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Hotels']))
Lease-to-Own Retailer stocks,0,20120,,"Common stocks, industry: Lease-to-Own Retailer",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Lease-to-Own Retailer']))
Identity & Authentication stocks,0,20121,,"Common stocks, industry: Identity & Authentication",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Identity & Authentication']))
Insurance Marketplace & Technology stocks,0,20122,,"Common stocks, industry: Insurance Marketplace & Technology",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Insurance Marketplace & Technology']))
Internet and Cellular Provider stocks,0,20123,,"Common stocks, industry: Internet and Cellular Provider",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Internet and Cellular Provider']))
IoT stocks,0,20124,,"Common stocks, industry: IoT",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['IoT']))
Luxury Retail stocks,0,20126,,"Common stocks, industry: Luxury Retail",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Luxury Retail']))
Memory and Storage stocks,0,20127,,"Common stocks, industry: Memory and Storage",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Memory and Storage']))
Mobile Data Capture stocks,0,20128,,"Common stocks, industry: Mobile Data Capture",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Mobile Data Capture']))
Nanotechnology stocks,0,20129,,"Common stocks, industry: Nanotechnology",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Nanotechnology']))
Network Equipment stocks,0,20130,,"Common stocks, industry: Network Equipment",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Network Equipment']))
Online Travel Company stocks,0,20131,,"Common stocks, industry: Online Travel Company",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Online Travel Company']))
Outdoor & Lifestyle Products stocks,0,20132,,"Common stocks, industry: Outdoor & Lifestyle Products",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Outdoor & Lifestyle Products']))
Payment Systems stocks,0,20133,,"Common stocks, industry: Payment Systems",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Payment Systems']))
Plastics stocks,0,20134,,"Common stocks, industry: Plastics",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Plastics']))
Precision manufacturing stocks,0,20135,,"Common stocks, industry: Precision manufacturing",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Precision manufacturing']))
ProSports Management stocks,0,20136,,"Common stocks, industry: ProSports Management",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['ProSports Management']))
Publishers stocks,0,20137,,"Common stocks, industry: Publishers",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Publishers']))
Recreational Vehicle stocks,0,20138,,"Common stocks, industry: Recreational Vehicle",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Recreational Vehicle']))
Retail Supply Chain stocks,0,20139,,"Common stocks, industry: Retail Supply Chain",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Retail Supply Chain']))
Satellite Communication stocks,0,20140,,"Common stocks, industry: Satellite Communication",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Satellite Communication']))
Semiconductor Equipments stocks,0,20141,,"Common stocks, industry: Semiconductor Equipments",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Semiconductor Equipments']))
Semiconductor Manufacturing stocks,0,20142,,"Common stocks, industry: Semiconductor Manufacturing",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Semiconductor Manufacturing']))
Semiconductor Materials stocks,0,20143,,"Common stocks, industry: Semiconductor Materials",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Semiconductor Materials']))
Social Media stocks,0,20144,,"Common stocks, industry: Social Media",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Social Media']))
Streaming stocks,0,20145,,"Common stocks, industry: Streaming",0,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Streaming']))
Supply Chain Technology stocks,0,20146,,"Common stocks, industry: Supply Chain Technology",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Supply Chain Technology']))
Technology Conglomerate stocks,0,20147,,"Common stocks, industry: Technology Conglomerate",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Technology Conglomerate']))
Technology Consulting stocks,0,20148,,"Common stocks, industry: Technology Consulting",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Technology Consulting']))
Trading System stocks,0,20149,,"Common stocks, industry: Trading System",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Trading System']))
Consumer Lending stocks,0,20150,,"Common stocks, industry: Consumer Lending",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Consumer Lending']))
Pharmaceuticals & Drugs discovery stocks,0,20151,,"Common stocks, industry: Pharmaceuticals & Drugs discovery",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Pharmaceuticals & Drugs discovery']))
Real Estate Property Management stocks,0,20154,,"Common stocks, industry: Real Estate Property Management",1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Real Estate Property Management']))
