name,QA,id,image_url,description,enabled,personalized,sql_request
Mining companies stocks,1,129,https://gainy-collections-production.s3.amazonaws.com/mining%20companies%20stocks.png,Mining companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Coal mining', 'Gold & Silver', 'Industrial Metals']))"
MLP to invest,1,130,https://gainy-collections-production.s3.amazonaws.com/mlp%20to%20invest.png,Master Limited Partnership companies from natural resources and real estate sectors,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Industrial estate investment trust']))
Monopolies stocks,0,131,https://gainy-collections-production.s3.amazonaws.com/monopolies%20stocks.png,,0,0,
Municipal bonds,1,132,https://gainy-collections-production.s3.amazonaws.com/municipal%20bonds.png,,0,0,
Nanotechnology stocks,1,133,https://gainy-collections-production.s3.amazonaws.com/nanotechnology%20stocks.png,Nanotechnology developers,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Nanotechnology']))
Natural gas stocks,1,134,https://gainy-collections-production.s3.amazonaws.com/natural%20gas%20stocks.png,Natural gas companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Liquified Natural Gas', 'Oil & Gas Producer']))"
Nuclear energy stocks,1,135,https://gainy-collections-production.s3.amazonaws.com/nuclear%20energy%20stocks.png,Nuclear energy companies,1,0,"where (ct.ttype ilike 'common stock' AND ct.ticker_code IN ('LBTR','AEP','EXC','XEL','PESI','HOLI','GVP'))"
Oil ETF,2,136,https://gainy-collections-production.s3.amazonaws.com/oil%20etf.png,,0,0,"where (ct.ttype ilike 'ETF') AND (ct.g_industry ilike any(array['Oil & Gas Producer', 'Oil & Gas Services']))"
Oil short ETF,1,137,https://gainy-collections-production.s3.amazonaws.com/oil%20short%20etf.png,,0,0,
Oil stocks,1,138,https://gainy-collections-production.s3.amazonaws.com/oil%20stocks.png,Oil producers,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Oil & Gas Producer', 'Oil & Gas Services']))"
Penny stocks,2,139,https://gainy-collections-production.s3.amazonaws.com/penny%20stocks.png,Best stocks under $1,1,0,where (ct.ttype ilike 'common stock' AND ct.investcat ilike 'Penny' AND ct.price <=1.5 AND ct.chrt_1d >=-0.2 and ct.chrt_1d <=0.2)
Pharmaceuticals,1,140,https://gainy-collections-production.s3.amazonaws.com/pharmaceutical%20stocks.png,Pharmaceutical companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Health Supplements', 'Medical/Cosmetic Ingredients', 'Pharmaceuticals', 'Pharmacies', 'Nutrition & Health']))"
Pink sheets stocks,1,141,https://gainy-collections-production.s3.amazonaws.com/pink%20sheets%20stocks.png,,0,0,
Precious metals stocks,1,142,https://gainy-collections-production.s3.amazonaws.com/precious%20metals%20stocks.png,Precious metals mining companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Precious Metal Trading', 'Gold & Silver']))"
Preferred stock funds,1,143,https://gainy-collections-production.s3.amazonaws.com/preferred%20stock%20funds.png,,0,0,
Prisons stocks,1,144,https://gainy-collections-production.s3.amazonaws.com/prisons%20stocks.png,,0,0,
Real estate,1,145,https://gainy-collections-production.s3.amazonaws.com/real%20estate%20stocks.png,Companies that manage different types of property,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Real Estate Brokerage & Services', 'Data Centers', 'Real Estate Investment & Development', 'Health Care REIT', 'Hotels', 'Industrial estate investment trust', 'Land & Farm estate investments', 'Mortgage investments', 'Office estate investments', 'Real Estate Property Management', 'Real Estate Technology', 'Retail estate investments']))"
Recent IPOs,1,146,https://gainy-collections-production.s3.amazonaws.com/recent%20ipos.png,Global IPOs that happen over last 6 months,1,0,where (ct.ttype ilike 'common stock' AND ct.ipo_date > (CURRENT_DATE - interval '6 month'))
Recession stocks,1,147,https://gainy-collections-production.s3.amazonaws.com/recession%20stocks.png,,0,0,
Restaurants,1,148,https://gainy-collections-production.s3.amazonaws.com/restaurant%20stocks.png,Dining chains and food deliveries,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Restaurants', 'Food Delivery']))"
Robotics company stocks,1,149,https://gainy-collections-production.s3.amazonaws.com/robotics%20company%20stocks.png,Robotics companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Healthcare Robotics', 'Analytics and AI', 'Computer Vision and Sensor', 'IoT', 'Precision manufacturing']))"
Russell 2000 stocks,1,150,https://gainy-collections-production.s3.amazonaws.com/russell%202000%20stocks.png,,0,0,
Schwab index funds,1,151,https://gainy-collections-production.s3.amazonaws.com/schwab%20index%20funds.png,,0,0,
Schwab mutual funds,1,152,https://gainy-collections-production.s3.amazonaws.com/schwab%20mutual%20funds.png,,0,0,
Self driving car stocks,2,153,https://gainy-collections-production.s3.amazonaws.com/self%20driving%20car%20stocks.png,Companies developing self-driving cars,1,0,"where (ct.ttype ilike 'common stock' AND ct.ticker_code IN ('LAZR', 'F', 'APTV', 'TSLA', 'GOOGL', 'XPEV', 'AMBA', 'QCOM', 'NVDA'))"
Semiconductors,1,154,https://gainy-collections-production.s3.amazonaws.com/semiconductors%20stocks.png,Semiconductor companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Memory and Storage', 'Semiconductor Equipments', 'Semiconductor Manufacturing', 'Semiconductor Materials']))"
Shipping stocks,1,155,https://gainy-collections-production.s3.amazonaws.com/shipping%20stocks.png,Shipping companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Air Cargo Transport', 'Maritime Transportation', 'Rail Freight', 'Supply Chain Services', 'Trucking']))"
Ships stocks,1,156,https://gainy-collections-production.s3.amazonaws.com/ships%20stocks.png,Maritime shipping companies,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Maritime Transportation']))
Shorted stocks,1,157,https://gainy-collections-production.s3.amazonaws.com/shorted%20stocks.png,Stocks that have short percent more than 10%,1,0,where (ct.ttype ilike 'common stock' AND ct.short_percent > 0.1)
Silver companies stocks,1,158,https://gainy-collections-production.s3.amazonaws.com/silver%20companies%20stocks.png,Silver mining companies,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Gold & Silver']))
Silver ETFs,2,159,https://gainy-collections-production.s3.amazonaws.com/silver%20ETFs.png,,0,0,where (ct.ttype ilike 'ETF') AND (ct.g_industry ilike any(array['Gold & Silver']))
Small Cap companies stocks,1,160,https://gainy-collections-production.s3.amazonaws.com/small%20cap%20companies%20stocks.png,,0,0,
Space stocks,1,161,https://gainy-collections-production.s3.amazonaws.com/space%20stocks.png,Companies involved in the space exploration,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Aerospace & Defense']))
Steel stocks,1,162,https://gainy-collections-production.s3.amazonaws.com/steel%20stocks.png,Steel producers,1,0,"where (ct.ttype ilike 'common stock' AND ct.ticker_code IN ('ZEUS', 'SCHN', 'STLD', 'USAP', 'ZKIN'))"
Stocks in sports,1,163,https://gainy-collections-production.s3.amazonaws.com/stocks%20in%20sports.png,Sports companies,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['ProSports Management']))
Stocks rated buy,1,164,https://gainy-collections-production.s3.amazonaws.com/stocks%20rated%20buy.png,,0,0,
Stocks to buy now,1,165,https://gainy-collections-production.s3.amazonaws.com/stocks%20to%20buy%20now.png,,0,0,
