symbol,weight,date,ttf_name,optimized_at
NMR,0.18460258518437256,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
FNF,0.13721632552864954,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
GS,0.12288569408124601,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
MS,0.11481532775143934,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
SCHW,0.10642857259721607,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
IBKR,0.10485536154443627,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
LPLA,0.0933125327741401,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
XP,0.07692395468037912,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
HOOD,0.05895964585812095,2022-10-14,Investment Banking and Brokerage,2022-10-14 12:19:38.590847
NLOK,0.12284133712861414,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
NTCT,0.11800222380186665,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
CHKP,0.11800138887620401,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
CSCO,0.1105309757819479,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
RDWR,0.07519314761170033,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
FFIV,0.062481001012896345,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
ATEN,0.0518806350840746,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
QLYS,0.0433352378716498,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
PANW,0.04105052113310373,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
RPD,0.03552841269405656,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
TENB,0.03498198631309457,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
FTNT,0.03104913586123153,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
CYBR,0.030742022636464045,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
VRNS,0.02674598425322766,2022-10-14,Cybersecurity,2022-10-14 12:19:39.125246
