symbol,weight,date,ttf_name,optimized_at
GS,0.13946363264202785,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
MS,0.1391557436295619,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
FNF,0.13436081237491954,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
NMR,0.12025400104763224,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
IBKR,0.10688595481149574,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
SCHW,0.09457558546436219,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
LPLA,0.09120659421891462,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
HOOD,0.09049662233140232,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
XP,0.08360105347968345,2023-05-03,Investment Banking and Brokerage,2023-05-03 09:03:34.712480
CHKP,0.12752085133657046,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
CSCO,0.10341584697760804,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
GEN,0.10216701006565311,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
NTCT,0.09285806167628687,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
ATEN,0.0864811735859182,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
FFIV,0.05503644647524262,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
RDWR,0.053957892428100236,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
PANW,0.05074756218591283,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
QLYS,0.042805130213882124,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
FTNT,0.03983280710814586,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
CYBR,0.03844656702468409,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
CRWD,0.03409458103165393,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
VRNS,0.030300987446935684,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
TENB,0.0297148997140048,2023-05-03,Cybersecurity,2023-05-03 09:03:35.620553
