symbol,weight,date,ttf_name,optimized_at
NMR,0.18350649590908583,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
FNF,0.13707446438485038,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
GS,0.12574956679354618,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
MS,0.11235695618836292,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
IBKR,0.10741232305849967,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
SCHW,0.10128715104818498,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
LPLA,0.09481511469249401,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
XP,0.07709139940181424,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
HOOD,0.06070652852316185,2022-11-01,Investment Banking and Brokerage,2022-11-01 12:18:33.068828
NLOK,0.11979286934048723,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
CHKP,0.11712938115940362,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
NTCT,0.1144605536578109,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
CSCO,0.10714434446113409,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
RDWR,0.07656591696598171,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
FFIV,0.0632751892325211,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
ATEN,0.05002484935800011,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
QLYS,0.043169680673129325,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
PANW,0.042369413121591454,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
TENB,0.03594851677226332,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
RPD,0.03587444545513517,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
FTNT,0.03250262412164628,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
CYBR,0.03105204367037124,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
VRNS,0.028462066526987538,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
CRWD,0.02516947817302069,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
OKTA,0.022865600873413258,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
ZS,0.02053375997070648,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
S,0.018779042904889246,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
NET,0.01488022356150733,2022-11-01,Cybersecurity,2022-11-01 12:18:57.806986
LOPE,0.25665060752484614,2022-11-01,EdTech,2022-11-01 12:18:58.532733
LRN,0.20100545044624693,2022-11-01,EdTech,2022-11-01 12:18:58.532733
ARCE,0.17873197923712209,2022-11-01,EdTech,2022-11-01 12:18:58.532733
COUR,0.13139007264112598,2022-11-01,EdTech,2022-11-01 12:18:58.532733
UDMY,0.11925467327626664,2022-11-01,EdTech,2022-11-01 12:18:58.532733
CHGG,0.11296721687439232,2022-11-01,EdTech,2022-11-01 12:18:58.532733
ZWS,0.19967806942311292,2022-11-01,Water Utilities,2022-11-01 12:19:00.670233
AWK,0.18941303428279577,2022-11-01,Water Utilities,2022-11-01 12:19:00.670233
WTRG,0.1817458513500837,2022-11-01,Water Utilities,2022-11-01 12:19:00.670233
CWT,0.14532726197299486,2022-11-01,Water Utilities,2022-11-01 12:19:00.670233
MSEX,0.1448812609791767,2022-11-01,Water Utilities,2022-11-01 12:19:00.670233
AWR,0.13895452199183608,2022-11-01,Water Utilities,2022-11-01 12:19:00.670233
WPM,0.17329353883046575,2022-11-01,Silver mining,2022-11-01 12:19:02.151763
AUY,0.1456680344976026,2022-11-01,Silver mining,2022-11-01 12:19:02.151763
BVN,0.138165883387941,2022-11-01,Silver mining,2022-11-01 12:19:02.151763
HL,0.1161718150887146,2022-11-01,Silver mining,2022-11-01 12:19:02.151763
AG,0.11435805684474286,2022-11-01,Silver mining,2022-11-01 12:19:02.151763
FSM,0.10892620505099566,2022-11-01,Silver mining,2022-11-01 12:19:02.151763
CDE,0.10400448633190239,2022-11-01,Silver mining,2022-11-01 12:19:02.151763
EXK,0.09941197996763511,2022-11-01,Silver mining,2022-11-01 12:19:02.151763
TTC,0.12067397467724483,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
PCAR,0.11829631711274519,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
LNN,0.11482295415951452,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
ALSN,0.11336691267294978,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
OSK,0.10399117318845066,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
CAT,0.09622433998378208,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
DE,0.09301714488725552,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
CNHI,0.08141464385251923,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
TEX,0.08047247334009908,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
AGCO,0.07772006612543919,2022-11-01,Heavy Equipment and Machinery,2022-11-01 12:19:08.321492
SONY,0.3,2022-11-01,Virtual reality and AR,2022-11-01 12:19:09.917877
MSFT,0.217184082852015,2022-11-01,Virtual reality and AR,2022-11-01 12:19:09.917877
QCOM,0.14173156443716514,2022-11-01,Virtual reality and AR,2022-11-01 12:19:09.917877
BABA,0.09990961586734677,2022-11-01,Virtual reality and AR,2022-11-01 12:19:09.917877
BIDU,0.09715549203266138,2022-11-01,Virtual reality and AR,2022-11-01 12:19:09.917877
NVDA,0.05667147045200076,2022-11-01,Virtual reality and AR,2022-11-01 12:19:09.917877
SNAP,0.05199281548159993,2022-11-01,Virtual reality and AR,2022-11-01 12:19:09.917877
U,0.03535495887721104,2022-11-01,Virtual reality and AR,2022-11-01 12:19:09.917877
RY,0.055715656781430194,2022-11-01,Banking,2022-11-01 12:19:15.339303
BNS,0.05512540455131154,2022-11-01,Banking,2022-11-01 12:19:15.339303
HDB,0.05450148599447415,2022-11-01,Banking,2022-11-01 12:19:15.339303
TD,0.05417198268776737,2022-11-01,Banking,2022-11-01 12:19:15.339303
CM,0.053004860846574436,2022-11-01,Banking,2022-11-01 12:19:15.339303
USB,0.05222638256775596,2022-11-01,Banking,2022-11-01 12:19:15.339303
GS,0.05044492128933882,2022-11-01,Banking,2022-11-01 12:19:15.339303
BSBR,0.04896987595532071,2022-11-01,Banking,2022-11-01 12:19:15.339303
MS,0.04849681975631347,2022-11-01,Banking,2022-11-01 12:19:15.339303
JPM,0.04810556175724574,2022-11-01,Banking,2022-11-01 12:19:15.339303
HSBC,0.04799439269169466,2022-11-01,Banking,2022-11-01 12:19:15.339303
C,0.04721754546392238,2022-11-01,Banking,2022-11-01 12:19:15.339303
BAC,0.04509141195652239,2022-11-01,Banking,2022-11-01 12:19:15.339303
WFC,0.04446355087152707,2022-11-01,Banking,2022-11-01 12:19:15.339303
COF,0.042656067679364806,2022-11-01,Banking,2022-11-01 12:19:15.339303
EWBC,0.04107573718438115,2022-11-01,Banking,2022-11-01 12:19:15.339303
LYG,0.03778391776731798,2022-11-01,Banking,2022-11-01 12:19:15.339303
BCS,0.037101971991195234,2022-11-01,Banking,2022-11-01 12:19:15.339303
CS,0.034836957294460645,2022-11-01,Banking,2022-11-01 12:19:15.339303
ING,0.03452275101307956,2022-11-01,Banking,2022-11-01 12:19:15.339303
NU,0.03396464033281899,2022-11-01,Banking,2022-11-01 12:19:15.339303
DB,0.03252810356618277,2022-11-01,Banking,2022-11-01 12:19:15.339303
IBM,0.3,2022-11-01,Analytics and BI Platforms,2022-11-01 12:19:18.159298
ORCL,0.17734753450849103,2022-11-01,Analytics and BI Platforms,2022-11-01 12:19:18.159298
SAP,0.16863723581873513,2022-11-01,Analytics and BI Platforms,2022-11-01 12:19:18.159298
ZEN,0.12210249680173789,2022-11-01,Analytics and BI Platforms,2022-11-01 12:19:18.159298
SPLK,0.08793381484011338,2022-11-01,Analytics and BI Platforms,2022-11-01 12:19:18.159298
AYX,0.08694878236265001,2022-11-01,Analytics and BI Platforms,2022-11-01 12:19:18.159298
DOMO,0.05703013566827271,2022-11-01,Analytics and BI Platforms,2022-11-01 12:19:18.159298
IBM,0.19168769796987642,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
CSCO,0.09352365315753355,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
ORCL,0.07526044480500219,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
GOOG,0.07294379083083002,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
TXN,0.05998646174103395,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
TSM,0.05911520706059948,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
BABA,0.056392800684806524,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
AMZN,0.05046636945547409,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
INTC,0.04825388435665034,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
MSFT,0.045756198233615514,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
AAPL,0.0452762973305283,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
AVGO,0.04447199133818982,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
ADBE,0.037026640803068944,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
CRM,0.03421258440703846,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
QCOM,0.03355480936015739,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
ASML,0.021558834884140995,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
AMD,0.01630030126044245,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
NVDA,0.014212032321011543,2022-11-01,Big Tech,2022-11-01 12:19:24.586439
CMC,0.19174067771586784,2022-11-01,Steel manufacturing,2022-11-01 12:19:30.880728
STLD,0.16855368851126665,2022-11-01,Steel manufacturing,2022-11-01 12:19:30.880728
NUE,0.15707264686223796,2022-11-01,Steel manufacturing,2022-11-01 12:19:30.880728
SCHN,0.1372193191416598,2022-11-01,Steel manufacturing,2022-11-01 12:19:30.880728
X,0.12347167070223597,2022-11-01,Steel manufacturing,2022-11-01 12:19:30.880728
TMST,0.11307698416055105,2022-11-01,Steel manufacturing,2022-11-01 12:19:30.880728
CLF,0.10886501290618067,2022-11-01,Steel manufacturing,2022-11-01 12:19:30.880728
CI,0.231657773297895,2022-11-01,Health insurance,2022-11-01 12:19:34.165141
UNH,0.21621880443266475,2022-11-01,Health insurance,2022-11-01 12:19:34.165141
HUM,0.19262863987821938,2022-11-01,Health insurance,2022-11-01 12:19:34.165141
MOH,0.18320568792961492,2022-11-01,Health insurance,2022-11-01 12:19:34.165141
CNC,0.1762890944616058,2022-11-01,Health insurance,2022-11-01 12:19:34.165141
FISV,0.3,2022-11-01,FinTech,2022-11-01 12:19:34.704177
