symbol,weight,date,ttf_name,optimized_at
MS,0.13601260467136359,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
GS,0.13517082549066764,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
FNF,0.13271006250526696,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
NMR,0.12556198805014376,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
IBKR,0.1090052733383027,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
SCHW,0.09631348514102875,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
LPLA,0.09422954894554558,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
HOOD,0.08669151893896283,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
XP,0.08430469291871823,2023-04-01,Investment Banking and Brokerage,2023-04-01 07:00:16.031474
CHKP,0.12505543700619248,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
GEN,0.10589774680761396,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
CSCO,0.1057510019356592,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
NTCT,0.09415045687006622,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
ATEN,0.08368060332448758,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
FFIV,0.060691021125436714,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
RDWR,0.058650267595530235,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
PANW,0.053324231474540955,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
QLYS,0.05017781846085861,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
CYBR,0.043842123229101186,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
FTNT,0.04271505374821794,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
TENB,0.038210686259438756,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
CRWD,0.036404750304007465,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
OKTA,0.030279891280414292,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
ZS,0.02596945659938202,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
S,0.025848965621465717,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
NET,0.019350488357586727,2023-04-01,Cybersecurity,2023-04-01 07:00:18.469400
LOPE,0.3,2023-04-01,EdTech,2023-04-01 07:00:18.973356
LRN,0.25201011118779665,2023-04-01,EdTech,2023-04-01 07:00:18.973356
COUR,0.2358976941096372,2023-04-01,EdTech,2023-04-01 07:00:18.973356
CHGG,0.21209219470256618,2023-04-01,EdTech,2023-04-01 07:00:18.973356
AWK,0.1794158440789647,2023-04-01,Water Utilities,2023-04-01 07:00:19.550307
WTRG,0.17841886207247193,2023-04-01,Water Utilities,2023-04-01 07:00:19.550307
ZWS,0.1731605010472432,2023-04-01,Water Utilities,2023-04-01 07:00:19.550307
CWT,0.15916345329278528,2023-04-01,Water Utilities,2023-04-01 07:00:19.550307
MSEX,0.15632290052520198,2023-04-01,Water Utilities,2023-04-01 07:00:19.550307
AWR,0.15351843898333292,2023-04-01,Water Utilities,2023-04-01 07:00:19.550307
WPM,0.1688664987712345,2023-04-01,Silver Mining,2023-04-01 07:00:20.311930
BVN,0.15870922808261145,2023-04-01,Silver Mining,2023-04-01 07:00:20.311930
AUY,0.1341317723536094,2023-04-01,Silver Mining,2023-04-01 07:00:20.311930
HL,0.09631164464789915,2023-04-01,Silver Mining,2023-04-01 07:00:20.311930
AG,0.09455399113078637,2023-04-01,Silver Mining,2023-04-01 07:00:20.311930
