symbol,weight,date,ttf_name,optimized_at
GS,0.13654792781193237,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
MS,0.13654029492962455,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
FNF,0.13452722596975764,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
NMR,0.12656342890541403,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
IBKR,0.10715460876289667,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
HOOD,0.09373555775470971,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
LPLA,0.09078963927134083,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
SCHW,0.08862031921036836,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
XP,0.0855209973839557,2023-07-01,Investment Banking and Brokerage,2023-07-01 07:00:09.682011
CHKP,0.13340416948191092,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
CSCO,0.11558597175222303,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
GEN,0.09532138318511615,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
NTCT,0.09225735771548844,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
ATEN,0.09197573510978725,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
FFIV,0.05232752200832093,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
PANW,0.051616322155772255,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
RDWR,0.05101543810376269,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
FTNT,0.04002443710893594,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
CYBR,0.038860125460884944,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
QLYS,0.03679282311943818,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
CRWD,0.03379092883207566,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
VRNS,0.03078774583197175,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
OKTA,0.029118834329098075,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
TENB,0.027317661222236632,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
S,0.024075613155114237,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
ZS,0.02225063614512776,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
RPD,0.02020939915785221,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
NET,0.01326789612488287,2023-07-01,Cybersecurity,2023-07-01 07:00:11.275545
LOPE,0.3,2023-07-01,EdTech,2023-07-01 07:00:11.740042
UDMY,0.20016217145291781,2023-07-01,EdTech,2023-07-01 07:00:11.740042
LRN,0.19956672814026852,2023-07-01,EdTech,2023-07-01 07:00:11.740042
COUR,0.1698631938045251,2023-07-01,EdTech,2023-07-01 07:00:11.740042
CHGG,0.13040790660228846,2023-07-01,EdTech,2023-07-01 07:00:11.740042
ZWS,0.18789913431341088,2023-07-01,Water Utilities,2023-07-01 07:00:12.246100
AWK,0.18202942328775326,2023-07-01,Water Utilities,2023-07-01 07:00:12.246100
WTRG,0.1732875822562095,2023-07-01,Water Utilities,2023-07-01 07:00:12.246100
MSEX,0.15672148893726126,2023-07-01,Water Utilities,2023-07-01 07:00:12.246100
CWT,0.1518775793271608,2023-07-01,Water Utilities,2023-07-01 07:00:12.246100
AWR,0.14818479187820427,2023-07-01,Water Utilities,2023-07-01 07:00:12.246100
WPM,0.1922564955406979,2023-07-01,Silver Mining,2023-07-01 07:00:12.824561
BVN,0.172104970270616,2023-07-01,Silver Mining,2023-07-01 07:00:12.824561
HL,0.1416530580063365,2023-07-01,Silver Mining,2023-07-01 07:00:12.824561
FSM,0.12784640807233522,2023-07-01,Silver Mining,2023-07-01 07:00:12.824561
EXK,0.1264134362711397,2023-07-01,Silver Mining,2023-07-01 07:00:12.824561
AG,0.12476652671651406,2023-07-01,Silver Mining,2023-07-01 07:00:12.824561
CDE,0.1149591051223606,2023-07-01,Silver Mining,2023-07-01 07:00:12.824561
OSK,0.11524475583615415,2023-07-01,Heavy Equipment and Machinery,2023-07-01 07:00:13.463697
PCAR,0.10963365175539205,2023-07-01,Heavy Equipment and Machinery,2023-07-01 07:00:13.463697
TTC,0.10747116836151223,2023-07-01,Heavy Equipment and Machinery,2023-07-01 07:00:13.463697
ALSN,0.1013499258689969,2023-07-01,Heavy Equipment and Machinery,2023-07-01 07:00:13.463697
CNHI,0.10058182221397087,2023-07-01,Heavy Equipment and Machinery,2023-07-01 07:00:13.463697
LNN,0.0997334021969302,2023-07-01,Heavy Equipment and Machinery,2023-07-01 07:00:13.463697
CAT,0.09882240877843108,2023-07-01,Heavy Equipment and Machinery,2023-07-01 07:00:13.463697
DE,0.09551314377602456,2023-07-01,Heavy Equipment and Machinery,2023-07-01 07:00:13.463697
