symbol,weight,date,ttf_name,optimized_at
GS,0.13946363264202785,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
MS,0.1391557436295619,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
FNF,0.13436081237491954,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
NMR,0.12025400104763224,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
IBKR,0.10688595481149574,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
SCHW,0.09457558546436219,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
LPLA,0.09120659421891462,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
HOOD,0.09049662233140232,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
XP,0.08360105347968345,2023-05-03,Investment Banking and Brokerage,2023-05-03 14:22:21.975537
CHKP,0.12752085133657046,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
CSCO,0.10341584697760804,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
GEN,0.10216701006565311,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
NTCT,0.09285806167628687,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
ATEN,0.0864811735859182,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
FFIV,0.05503644647524262,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
RDWR,0.053957892428100236,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
PANW,0.05074756218591283,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
QLYS,0.042805130213882124,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
FTNT,0.03983280710814586,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
CYBR,0.03844656702468409,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
CRWD,0.03409458103165393,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
VRNS,0.030300987446935684,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
TENB,0.0297148997140048,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
OKTA,0.028287724729614473,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
S,0.02323854475809264,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
ZS,0.02263204160737104,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
RPD,0.02248305249553252,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
NET,0.015978819138790533,2023-05-03,Cybersecurity,2023-05-03 14:22:24.622324
LOPE,0.3,2023-05-03,EdTech,2023-05-03 14:22:25.178404
LRN,0.21086822850848716,2023-05-03,EdTech,2023-05-03 14:22:25.178404
UDMY,0.1860246010661304,2023-05-03,EdTech,2023-05-03 14:22:25.178404
COUR,0.17028876254840003,2023-05-03,EdTech,2023-05-03 14:22:25.178404
CHGG,0.1328184078769825,2023-05-03,EdTech,2023-05-03 14:22:25.178404
ZWS,0.18219968452120291,2023-05-03,Water Utilities,2023-05-03 14:22:25.562326
AWK,0.17684107337803967,2023-05-03,Water Utilities,2023-05-03 14:22:25.562326
WTRG,0.17339662125396815,2023-05-03,Water Utilities,2023-05-03 14:22:25.562326
MSEX,0.15783416841948963,2023-05-03,Water Utilities,2023-05-03 14:22:25.562326
CWT,0.15616831308071988,2023-05-03,Water Utilities,2023-05-03 14:22:25.562326
AWR,0.1535601393465798,2023-05-03,Water Utilities,2023-05-03 14:22:25.562326
WPM,0.19824070380626285,2023-05-03,Silver Mining,2023-05-03 14:22:26.423713
BVN,0.17635871292349475,2023-05-03,Silver Mining,2023-05-03 14:22:26.423713
HL,0.11316034724772316,2023-05-03,Silver Mining,2023-05-03 14:22:26.423713
AG,0.11042998877560146,2023-05-03,Silver Mining,2023-05-03 14:22:26.423713
EXK,0.1066253290991223,2023-05-03,Silver Mining,2023-05-03 14:22:26.423713
FSM,0.10590845574889628,2023-05-03,Silver Mining,2023-05-03 14:22:26.423713
CDE,0.09492659061102746,2023-05-03,Silver Mining,2023-05-03 14:22:26.423713
GATO,0.0943498717878718,2023-05-03,Silver Mining,2023-05-03 14:22:26.423713
OSK,0.11031999720171916,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
TTC,0.10865875932777727,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
PCAR,0.10841309183445558,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
ALSN,0.10239433222105443,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
LNN,0.1017892766235897,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
CAT,0.09989387735496676,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
DE,0.09741015719328704,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
CNHI,0.0961133315254631,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
AGCO,0.09149239606332295,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
TEX,0.0835147806543641,2023-05-03,Heavy Equipment and Machinery,2023-05-03 14:22:27.255514
SONY,0.27576895397490525,2023-05-03,Virtual Reality and AR,2023-05-03 14:22:28.138377
MSFT,0.17599415190703904,2023-05-03,Virtual Reality and AR,2023-05-03 14:22:28.138377
BABA,0.13081750806872294,2023-05-03,Virtual Reality and AR,2023-05-03 14:22:28.138377
QCOM,0.11744130101191146,2023-05-03,Virtual Reality and AR,2023-05-03 14:22:28.138377
BIDU,0.10942773835003072,2023-05-03,Virtual Reality and AR,2023-05-03 14:22:28.138377
META,0.07197514743750316,2023-05-03,Virtual Reality and AR,2023-05-03 14:22:28.138377
SNAP,0.064580917453882,2023-05-03,Virtual Reality and AR,2023-05-03 14:22:28.138377
