symbol,weight,date,ttf_name,optimized_at
GS,0.13718487943666566,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
MS,0.13526416297626892,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
FNF,0.13155806003951334,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
NMR,0.12442845229833473,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
IBKR,0.10772743871569508,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
LPLA,0.09285321711708677,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
SCHW,0.09240434529658534,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
HOOD,0.09190491338437652,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
XP,0.08667453073547365,2023-06-01,Investment Banking and Brokerage,2023-06-01 07:00:08.174610
CHKP,0.1251155055282354,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
CSCO,0.10668027646262833,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
GEN,0.0963703058062913,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
ATEN,0.09426485744921963,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
NTCT,0.08429981219723734,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
FFIV,0.05606946335046333,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
RDWR,0.054328930850109154,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
PANW,0.052273040097490876,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
FTNT,0.04149822080032831,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
QLYS,0.04065208202460678,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
CYBR,0.040355760245478205,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
CRWD,0.03375063692777508,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
VRNS,0.03110226009105323,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
TENB,0.02936243460776384,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
OKTA,0.028620623864319888,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
S,0.024302366313845067,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
ZS,0.02255212165693481,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
RPD,0.022273610296592083,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
NET,0.01612769142962732,2023-06-01,Cybersecurity,2023-06-01 07:00:09.737774
LOPE,0.3,2023-06-01,EdTech,2023-06-01 07:00:10.114516
LRN,0.2083042683319765,2023-06-01,EdTech,2023-06-01 07:00:10.114516
UDMY,0.19444127669603425,2023-06-01,EdTech,2023-06-01 07:00:10.114516
COUR,0.16740021476273811,2023-06-01,EdTech,2023-06-01 07:00:10.114516
CHGG,0.12985424020925107,2023-06-01,EdTech,2023-06-01 07:00:10.114516
ZWS,0.18803821101727203,2023-06-01,Water Utilities,2023-06-01 07:00:10.469936
AWK,0.17821187790071635,2023-06-01,Water Utilities,2023-06-01 07:00:10.469936
WTRG,0.1718164587670128,2023-06-01,Water Utilities,2023-06-01 07:00:10.469936
MSEX,0.15635357169329012,2023-06-01,Water Utilities,2023-06-01 07:00:10.469936
CWT,0.15547486272443317,2023-06-01,Water Utilities,2023-06-01 07:00:10.469936
AWR,0.1501050178972756,2023-06-01,Water Utilities,2023-06-01 07:00:10.469936
WPM,0.1867894445519636,2023-06-01,Silver Mining,2023-06-01 07:00:11.113576
BVN,0.17250746342829526,2023-06-01,Silver Mining,2023-06-01 07:00:11.113576
HL,0.11522418378360776,2023-06-01,Silver Mining,2023-06-01 07:00:11.113576
AG,0.11139353104385204,2023-06-01,Silver Mining,2023-06-01 07:00:11.113576
FSM,0.11002483372676342,2023-06-01,Silver Mining,2023-06-01 07:00:11.113576
EXK,0.10756010255383833,2023-06-01,Silver Mining,2023-06-01 07:00:11.113576
GATO,0.09925579450089798,2023-06-01,Silver Mining,2023-06-01 07:00:11.113576
CDE,0.0972446464107817,2023-06-01,Silver Mining,2023-06-01 07:00:11.113576
OSK,0.1122772250229234,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
PCAR,0.10791357549663204,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
TTC,0.10760705121597283,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
ALSN,0.10229862040352375,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
LNN,0.10195507686563042,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
CAT,0.10102947211366527,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
DE,0.09788006945218247,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
CNHI,0.0962079235662319,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
AGCO,0.09074978850318328,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
TEX,0.08208119736005459,2023-06-01,Heavy Equipment and Machinery,2023-06-01 07:00:12.287572
SONY,0.2780729026000331,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
MSFT,0.1733516059693196,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
BABA,0.13279582455927863,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
QCOM,0.11634119500468282,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
BIDU,0.10668720436362286,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
META,0.07484597127450113,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
SNAP,0.06445689480969853,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
NVDA,0.04344840141886337,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
U,0.01,2023-06-01,Virtual Reality and AR,2023-06-01 07:00:13.989768
IBM,0.29509559910674854,2023-06-01,Analytics and BI Platforms,2023-06-01 07:00:15.200813
ORCL,0.2317571876557053,2023-06-01,Analytics and BI Platforms,2023-06-01 07:00:15.200813
SAP,0.19275760704470882,2023-06-01,Analytics and BI Platforms,2023-06-01 07:00:15.200813
AYX,0.10649223704650723,2023-06-01,Analytics and BI Platforms,2023-06-01 07:00:15.200813
SPLK,0.10229208674638914,2023-06-01,Analytics and BI Platforms,2023-06-01 07:00:15.200813
DOMO,0.07160528239994103,2023-06-01,Analytics and BI Platforms,2023-06-01 07:00:15.200813
BNS,0.05653476007097308,2023-06-01,Banking,2023-06-01 07:00:17.397422
RY,0.05498819773523332,2023-06-01,Banking,2023-06-01 07:00:17.397422
