symbol,weight,date,ttf_name,optimized_at
NMR,0.26811859964885865,2022-10-13,Investment Banking and Brokerage,2022-10-13 10:34:27.196867
GS,0.19274224763215875,2022-10-13,Investment Banking and Brokerage,2022-10-13 10:34:27.196867
MS,0.1765016394026737,2022-10-13,Investment Banking and Brokerage,2022-10-13 10:34:27.196867
SCHW,0.16626485070756267,2022-10-13,Investment Banking and Brokerage,2022-10-13 10:34:27.196867
XP,0.11020617649915555,2022-10-13,Investment Banking and Brokerage,2022-10-13 10:34:27.196867
HOOD,0.08616648610959086,2022-10-13,Investment Banking and Brokerage,2022-10-13 10:34:27.196867
NTCT,0.1878153953998813,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
CSCO,0.18376389757872205,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
RDWR,0.11284719595671222,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
FFIV,0.09106025933193647,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
ATEN,0.07191670972479822,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
QLYS,0.06233534352710681,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
RPD,0.05047515627998434,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
TENB,0.049224381847017,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
FTNT,0.041705427168211094,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
VRNS,0.034659547974833636,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
CRWD,0.02958228937271945,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
OKTA,0.0278205269321197,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
ZS,0.02274703459303703,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
S,0.020468848414476607,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
NET,0.013577985898444103,2022-10-13,Cybersecurity,2022-10-13 10:34:27.613320
LOPE,0.3,2022-10-13,EdTech,2022-10-13 10:34:27.705792
ARCE,0.2995070016202881,2022-10-13,EdTech,2022-10-13 10:34:27.705792
UDMY,0.20306261170767467,2022-10-13,EdTech,2022-10-13 10:34:27.705792
CHGG,0.1974303866720372,2022-10-13,EdTech,2022-10-13 10:34:27.705792
