symbol,weight,date,ttf_name,optimized_at
NMR,0.15996005323954385,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
FNF,0.13311881407708862,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
GS,0.12919250550844424,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
MS,0.11662161864204676,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
IBKR,0.11429355721960384,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
SCHW,0.10662441425488661,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
LPLA,0.09923859361491641,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
XP,0.08076828247216566,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
HOOD,0.06018216097130407,2022-11-30,Investment Banking and Brokerage,2022-11-30 14:04:47.346114
GEN,0.1404872724501242,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
NTCT,0.11573762186377767,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
CHKP,0.11525051106561206,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
CSCO,0.10228829955513001,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
RDWR,0.058615229339527085,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
FFIV,0.05770355681126262,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
ATEN,0.0566871097178861,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
PANW,0.04359335196024654,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
QLYS,0.042447588844620104,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
TENB,0.035486150222052655,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
FTNT,0.033521725454268854,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
CYBR,0.03306930322983152,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
RPD,0.031612763924073146,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
VRNS,0.028059612356812452,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
CRWD,0.026021503018026377,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
OKTA,0.02380916819006425,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
ZS,0.02001835405860222,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
S,0.01982099165899525,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
NET,0.015769886279086792,2022-11-30,Cybersecurity,2022-11-30 14:04:48.047858
LOPE,0.3,2022-11-30,EdTech,2022-11-30 14:04:48.196310
LRN,0.23533952749590856,2022-11-30,EdTech,2022-11-30 14:04:48.196310
COUR,0.16599571675699845,2022-11-30,EdTech,2022-11-30 14:04:48.196310
UDMY,0.1556250822580336,2022-11-30,EdTech,2022-11-30 14:04:48.196310
CHGG,0.14303967348905947,2022-11-30,EdTech,2022-11-30 14:04:48.196310
WPM,0.18428058912433273,2022-11-30,Silver mining,2022-11-30 14:04:48.402535
BVN,0.14843106756387187,2022-11-30,Silver mining,2022-11-30 14:04:48.402535
AUY,0.14821591224374567,2022-11-30,Silver mining,2022-11-30 14:04:48.402535
HL,0.1106738731969222,2022-11-30,Silver mining,2022-11-30 14:04:48.402535
AG,0.10969130688104352,2022-11-30,Silver mining,2022-11-30 14:04:48.402535
FSM,0.10383081417567411,2022-11-30,Silver mining,2022-11-30 14:04:48.402535
EXK,0.09841123400506151,2022-11-30,Silver mining,2022-11-30 14:04:48.402535
CDE,0.0964652028093484,2022-11-30,Silver mining,2022-11-30 14:04:48.402535
ZWS,0.19976996269670846,2022-11-30,Water Utilities,2022-11-30 14:04:48.580219
AWK,0.18173264668385877,2022-11-30,Water Utilities,2022-11-30 14:04:48.580219
WTRG,0.17857909639725844,2022-11-30,Water Utilities,2022-11-30 14:04:48.580219
CWT,0.14894446135735961,2022-11-30,Water Utilities,2022-11-30 14:04:48.580219
MSEX,0.1488509209920941,2022-11-30,Water Utilities,2022-11-30 14:04:48.580219
AWR,0.1421229118727207,2022-11-30,Water Utilities,2022-11-30 14:04:48.580219
TTC,0.11991125152838848,2022-11-30,Heavy Equipment and Machinery,2022-11-30 14:04:48.831613
PCAR,0.11518607366783852,2022-11-30,Heavy Equipment and Machinery,2022-11-30 14:04:48.831613
