date,ttf_name,symbol,weight
2022-07-01,"Movies, Music and Entertainment",DIS,0.077753062
2022-08-01,"Movies, Music and Entertainment",DIS,0.074023902
2022-09-01,"Movies, Music and Entertainment",DIS,0.070220067
2022-10-01,"Movies, Music and Entertainment",DIS,0.068395694
2015-02-01,"Movies, Music and Entertainment",LYV,0.118981906
2015-03-01,"Movies, Music and Entertainment",LYV,0.127840885
2015-04-01,"Movies, Music and Entertainment",LYV,0.128402792
2015-05-01,"Movies, Music and Entertainment",LYV,0.130723264
2015-06-01,"Movies, Music and Entertainment",LYV,0.120410337
2015-07-01,"Movies, Music and Entertainment",LYV,0.12413442
2015-08-01,"Movies, Music and Entertainment",LYV,0.146313916
2015-09-01,"Movies, Music and Entertainment",LYV,0.136574714
2015-10-01,"Movies, Music and Entertainment",LYV,0.131157336
2015-11-01,"Movies, Music and Entertainment",LYV,0.122914279
2015-12-01,"Movies, Music and Entertainment",LYV,0.122106845
2016-01-01,"Movies, Music and Entertainment",LYV,0.120834708
2016-02-01,"Movies, Music and Entertainment",LYV,0.114891182
2016-03-01,"Movies, Music and Entertainment",LYV,0.113934712
2016-04-01,"Movies, Music and Entertainment",LYV,0.115311231
2016-05-01,"Movies, Music and Entertainment",LYV,0.114883343
2016-06-01,"Movies, Music and Entertainment",LYV,0.104978939
2016-07-01,"Movies, Music and Entertainment",LYV,0.086839325
2016-08-01,"Movies, Music and Entertainment",LYV,0.085931835
2016-09-01,"Movies, Music and Entertainment",LYV,0.081095244
2016-10-01,"Movies, Music and Entertainment",LYV,0.076693961
2016-11-01,"Movies, Music and Entertainment",LYV,0.078922333
2016-12-01,"Movies, Music and Entertainment",LYV,0.088671171
2017-01-01,"Movies, Music and Entertainment",LYV,0.085151478
2017-02-01,"Movies, Music and Entertainment",LYV,0.080808718
2017-03-01,"Movies, Music and Entertainment",LYV,0.087449599
2017-04-01,"Movies, Music and Entertainment",LYV,0.106860774
2017-05-01,"Movies, Music and Entertainment",LYV,0.104972698
2017-06-01,"Movies, Music and Entertainment",LYV,0.105989197
2017-07-01,"Movies, Music and Entertainment",LYV,0.092405074
2017-08-01,"Movies, Music and Entertainment",LYV,0.092429412
2017-09-01,"Movies, Music and Entertainment",LYV,0.102280041
2017-10-01,"Movies, Music and Entertainment",LYV,0.105381444
2017-11-01,"Movies, Music and Entertainment",LYV,0.108524332
2017-12-01,"Movies, Music and Entertainment",LYV,0.098778314
2018-01-01,"Movies, Music and Entertainment",LYV,0.10537209
2018-02-01,"Movies, Music and Entertainment",LYV,0.096371465
2018-03-01,"Movies, Music and Entertainment",LYV,0.092613374
2018-04-01,"Movies, Music and Entertainment",LYV,0.119784906
2018-05-01,"Movies, Music and Entertainment",LYV,0.123456197
2018-06-01,"Movies, Music and Entertainment",LYV,0.117529711
2018-07-01,"Movies, Music and Entertainment",LYV,0.114939443
2018-08-01,"Movies, Music and Entertainment",LYV,0.120769791
2018-09-01,"Movies, Music and Entertainment",LYV,0.119544366
2018-10-01,"Movies, Music and Entertainment",LYV,0.116723936
2018-11-01,"Movies, Music and Entertainment",LYV,0.084110863
2018-12-01,"Movies, Music and Entertainment",LYV,0.066357886
2019-01-01,"Movies, Music and Entertainment",LYV,0.067043452
2019-02-01,"Movies, Music and Entertainment",LYV,0.06350968
2019-03-01,"Movies, Music and Entertainment",LYV,0.067345785
2019-04-01,"Movies, Music and Entertainment",LYV,0.06589803
2019-05-01,"Movies, Music and Entertainment",LYV,0.067923646
2019-06-01,"Movies, Music and Entertainment",LYV,0.066119658
2019-07-01,"Movies, Music and Entertainment",LYV,0.069036735
2019-08-01,"Movies, Music and Entertainment",LYV,0.07498482
2019-09-01,"Movies, Music and Entertainment",LYV,0.075811414
2019-10-01,"Movies, Music and Entertainment",LYV,0.070097498
2019-11-01,"Movies, Music and Entertainment",LYV,0.071822525
2019-12-01,"Movies, Music and Entertainment",LYV,0.070259172
2020-01-01,"Movies, Music and Entertainment",LYV,0.069714151
2020-02-01,"Movies, Music and Entertainment",LYV,0.065379043
2020-03-01,"Movies, Music and Entertainment",LYV,0.060557336
2020-04-01,"Movies, Music and Entertainment",LYV,0.054072252
2020-05-01,"Movies, Music and Entertainment",LYV,0.051939335
2020-06-01,"Movies, Music and Entertainment",LYV,0.0490036
2020-07-01,"Movies, Music and Entertainment",LYV,0.04842889
2020-08-01,"Movies, Music and Entertainment",LYV,0.047818198
2020-09-01,"Movies, Music and Entertainment",LYV,0.047780588
2020-10-01,"Movies, Music and Entertainment",LYV,0.048578863
2020-11-01,"Movies, Music and Entertainment",LYV,0.049132932
2020-12-01,"Movies, Music and Entertainment",LYV,0.048274109
2021-01-01,"Movies, Music and Entertainment",LYV,0.051194372
2021-02-01,"Movies, Music and Entertainment",LYV,0.056636808
2021-03-01,"Movies, Music and Entertainment",LYV,0.07371978
2021-04-01,"Movies, Music and Entertainment",LYV,0.083544948
2021-05-01,"Movies, Music and Entertainment",LYV,0.085964491
2021-06-01,"Movies, Music and Entertainment",LYV,0.078778885
2021-07-01,"Movies, Music and Entertainment",LYV,0.074447222
2021-08-01,"Movies, Music and Entertainment",LYV,0.059146391
2021-09-01,"Movies, Music and Entertainment",LYV,0.069447673
2021-10-01,"Movies, Music and Entertainment",LYV,0.070071577
2021-11-01,"Movies, Music and Entertainment",LYV,0.070271389
2021-12-01,"Movies, Music and Entertainment",LYV,0.064234819
2022-01-01,"Movies, Music and Entertainment",LYV,0.057087421
2022-02-01,"Movies, Music and Entertainment",LYV,0.039793596
2022-03-01,"Movies, Music and Entertainment",LYV,0.045369462
2022-04-01,"Movies, Music and Entertainment",LYV,0.035846939
2022-05-01,"Movies, Music and Entertainment",LYV,0.046581842
2022-06-01,"Movies, Music and Entertainment",LYV,0.047732671
2022-07-01,"Movies, Music and Entertainment",LYV,0.046940782
2022-08-01,"Movies, Music and Entertainment",LYV,0.047582258
2022-09-01,"Movies, Music and Entertainment",LYV,0.049955138
2022-10-01,"Movies, Music and Entertainment",LYV,0.049574654
2015-02-01,"Movies, Music and Entertainment",CNK,0.118928278
2015-03-01,"Movies, Music and Entertainment",CNK,0.120040657
2015-04-01,"Movies, Music and Entertainment",CNK,0.121779008
2015-05-01,"Movies, Music and Entertainment",CNK,0.122947184
2015-06-01,"Movies, Music and Entertainment",CNK,0.121042883
2015-07-01,"Movies, Music and Entertainment",CNK,0.122887324
2015-08-01,"Movies, Music and Entertainment",CNK,0.124206069
2015-09-01,"Movies, Music and Entertainment",CNK,0.1201197
2015-10-01,"Movies, Music and Entertainment",CNK,0.109734564
2015-11-01,"Movies, Music and Entertainment",CNK,0.109283734
2015-12-01,"Movies, Music and Entertainment",CNK,0.108756764
2016-01-01,"Movies, Music and Entertainment",CNK,0.106730971
2016-02-01,"Movies, Music and Entertainment",CNK,0.108218217
2016-03-01,"Movies, Music and Entertainment",CNK,0.114440656
2016-04-01,"Movies, Music and Entertainment",CNK,0.115859137
2016-05-01,"Movies, Music and Entertainment",CNK,0.115380934
2016-06-01,"Movies, Music and Entertainment",CNK,0.120875348
2016-07-01,"Movies, Music and Entertainment",CNK,0.099090254
2016-08-01,"Movies, Music and Entertainment",CNK,0.09505375
