section_id,position,collection_id
bull,1,83
bull,2,154
bull,3,17
bull,4,116
bull,5,205
bull,6,87
bull,7,48
bull,8,208
bull,9,252
bull,10,251
flat,1,259
flat,2,275
flat,3,92
flat,4,262
flat,5,248
flat,6,145
flat,7,265
flat,8,83
bear,1,280
bear,2,249
bear,3,91
bear,4,256
bear,5,270
bear,6,259
bear,7,65
bear,8,267
bear,9,257
bear,10,79
