id,name,Sub 1,Sub 2,Sub 3,Sub 4,Sub 5,Sub 6,Sub 7,Sub 8,Sub 9,Sub 10,Sub 11,Sub 12,Sub 13,Sub 14,Sub 15,TTF 1,TTF 2,TTF 3,TTF 4,TTF 5,TTF 6,TTF 7,TTF 8,TTF 9,TTF 10,enabled,icon_url,order
27,"Energy, Oil and Gas",Independent Power Producers & Energy Traders,Oil & Gas Drilling,Oil & Gas Equipment & Services,Oil & Gas Exploration & Production,Oil & Gas Refining & Marketing,Oil & Gas Storage & Transportation,Industrial Gases,Integrated Oil & Gas,,,,,,,,Energy companies,Oil & Gas Production,Natural Gas,Oil & Gas Drilling and Equipment,Oil & Gas Transportation,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Oil%20%26%20Gas%403x.png,1
28,Telecom and Internet Infrastructure,Cable & Satellite,Communications Equipment,Integrated Telecommunication Services,Internet Services & Infrastructure,Wireless Telecommunication Services,,,,,,,,,,,IT Cloud Infrastructure,Internet Infrastructure,IT Infrastructure Monitoring Tools,Cloud Database Management,Internet of Things,Telecom and Internet,Cybersecurity,,,,1,https://gainy-interests-production.s3.amazonaws.com/Internet%20Infrastructure%403x.png,1
29,Real Estate,Diversified Real Estate Activities,Diversified REITs,Industrial REITs,Health Care REITs,Mortgage REITs,Office REITs,Real Estate Development,Real Estate Operating Companies,Real Estate Services,Residential REITs,Retail REITs,Specialized REITs,,,,REIT Diversified,REIT Industrial,REIT Office,REIT Residential,REIT Retail,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Real%20Estate%403x.png,1
30,Restaurants and Fast Food,Restaurants,,,,,,,,,,,,,,,Restaurants and Fast Food,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Restaurants%403x.png,1
33,Social Media,Interactive Media & Services,,,,,,,,,,,,,,,Social Media,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Social%20media%403x.png,1
34,Utilities,Electric Utilities,Electrical Components & Equipment,Electronic Components,Forest Products,Gas Utilities,Heavy Electrical Equipment,Household Appliances,Multi-Utilities,Water Utilities,,,,,,,Waste Management,Water Utilities,Utilities and infrastructure,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Utilities%403x.png,1
36,Personal services and Sharing Economy,Specialized Consumer Services,Personal Products,,,,,,,,,,,,,,,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Gig%20Economy%403x.png,1
38,Food and Beverages,Brewers,Distillers & Vintners,Food Distributors,Food Retail,Packaged Foods & Meats,Paper Packaging,Paper Products,Soft Drinks,Tobacco,,,,,,,Food Retail Chains,Food Producers,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Beverages%403x.png,1
41,Security and Defense,Aerospace & Defense,Military & Defense,Firearms,Cybersecurity,Security & Alarm Services,,,,,,,,,,,,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/aerospace%403x.png,1
42,Agriculture and Farming,Agricultural & Farm Machinery,Agricultural Products,Agricultural Inputs,Fertilizers & Agricultural Chemicals,,,,,,,,,,,,Farming Companies,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Agriculture%403x.png,1
45,Healthcare Equipment & Services,,,,,,,,,,,,,,,,Healthcare,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Healthcare%20equipment%403x.png,1
46,Healthcare and Hospitals,Health Care Distributors,Health Care Equipment,Health Care Facilities,Health Care Services,Health Care Supplies,Health Care Technology,Managed Health Care,,,,,,,,,,,,,,,,,,,1,https://gainy-interests-production.s3.amazonaws.com/Healthcare%20services%403x.png,1
